mz_exact,mixrat_bottle [ppbv],1_sigm [ppbv],k [1.e-9 cm3 molecule-1 s-1],k_ionicon [1.e-9 cm3 molecule-1 s-1],k_Holzinger [1.e-9 cm3 molecule-1 s-1],fr,Tr_selection
21.022,,,,,,,False
33.033,1030,24.0,2.2,2.2,2.2,1.014,True
33.989,,,,,,,False
38.033,,,,,,,False
39.033,,,,,,,False
42.034,537,10.0,3.1,4.4,3.1,1.026,True
45.033,991,16.0,3.03,3.03,3.03,1.025,True
47.049,537,10.0,3.0,3.0,3.0,1,False
59.049,1006,18.0,3.25,3.7,3.25,1.036,True
69.07,499,8.0,1.85,1.85,1.85,1.057,False
71.049,991,11.672617529928752,2.72,2.72,2.72,1.048,False
73.065,520,8.5,3.25,3.25,3.25,1.048,False
78.046,,,,,,,False
79.054,514,8.5,1.97,2.0,1.97,1.068,True
81.07,976,18.0,2.04,2.04,2.04,1.068,False
83.086,948,15.5,2,2,2,1.069,False
93.07,494,8.0,2.15,2.12,2.12,1.08,True
101.096,948,15.5,2,2,2,1.069,False
107.086,492,8.0,2.31,2.26,2.31,1.092,True
121.101,479,9.5,2.4,2.2,2.4,1.105,False
133.026,536,13.5,2.46,2.46,2.46,1.067,False
137.132,976,18.0,2.04,2.04,2.04,1.117,False
179.929,,,,,,,False
180.937,485,7.5,2.4,2.2,2.4,2.4777,True
203.9445,,,,,,,False
297.082,987,18.5,,2.0,2.99,1.5,True
371.101,979,24.0,,2.0,3.39,1.7,True
330.8475,,,,,,,False
